matrix,id,parent,depth,n_in_node,shift,lo,hi,ncd_max,ncd_min,outcome,n_singletons,n_zerowidth_batches,n_descend_groups,n_adjacent_pairs,max_pair_ncd_max,min_pair_ncd_max,max_pair_ncd_min,min_pair_ncd_min
gl_clustered_at_eps@200,0,-1,0,200,0.0,4.568694349734865e-16,4.459885431445992e-14,0.9897560275483274,96.61838043958474,internal,177,0,11,199,0.28299514696164785,9.514035362144239e-05,0.3946906994596181,9.514940616959224e-05
gl_clustered_at_eps@200,11,0,1,2,3.854314251260586e-14,-1.2607928263621014e-17,-2.1898778728935288e-27,0.9999999998263095,5757365932.362261,leaf,2,0,0,1,0.9999999998263095,0.9999999998263095,5757365932.362261,5757365932.362261
gl_clustered_at_eps@200,10,0,1,2,3.697742806168197e-14,-6.859788158822358e-18,-1.5233172292525513e-26,0.9999999977793524,450319080.74427086,leaf,2,0,0,1,0.9999999977793524,0.9999999977793524,450319080.74427086,450319080.74427086
gl_clustered_at_eps@200,9,0,1,3,3.5917695524903577e-14,-4.723224048824334e-17,-1.4797938798453357e-26,0.9999999996866983,3191812124.4278965,leaf,3,0,0,2,0.9999999992296971,0.5932747257240213,1298190661.1520555,1.4586620582655545
gl_clustered_at_eps@200,8,0,1,2,3.5771875804436066e-14,-9.26531209880298e-18,-1.4734861480471886e-26,0.9999999984096746,628802116.4194477,leaf,2,0,0,1,0.9999999984096746,0.9999999984096746,628802116.4194477,628802116.4194477
gl_clustered_at_eps@200,7,0,1,2,3.556812082945455e-14,-2.562009969042247e-17,-2.0194839173657902e-27,0.9999999999211758,12686458885.90278,leaf,2,0,0,1,0.9999999999211758,0.9999999999211758,12686458885.90278,12686458885.90278
gl_clustered_at_eps@200,6,0,1,2,2.292298865170646e-14,-3.807408965088076e-18,-1.303849814532824e-27,0.9999999996575493,2920128469.8180056,leaf,2,0,0,1,0.9999999996575493,0.9999999996575493,2920128469.8180056,2920128469.8180056
gl_clustered_at_eps@200,5,0,1,2,2.0647068031400356e-14,-1.8265533462374407e-17,-1.1738250269688656e-27,0.9999999999357355,15560695198.64229,leaf,2,0,0,1,0.9999999999357355,0.9999999999357355,15560695198.64229,15560695198.64229
gl_clustered_at_eps@200,4,0,1,2,2.0067714493770187e-14,-9.936320998422327e-18,-1.1422705907600251e-27,0.9999999998850408,8698745356.534822,leaf,2,0,0,1,0.9999999998850408,0.9999999998850408,8698745356.534822,8698745356.534822
gl_clustered_at_eps@200,3,0,1,2,1.6259029169626712e-14,-1.5468897856654593e-18,-9.250072534094854e-28,0.9999999994020212,1672300167.4189787,leaf,2,0,0,1,0.9999999994020212,0.9999999994020212,1672300167.4189787,1672300167.4189787
gl_clustered_at_eps@200,2,0,1,2,1.4460608484306578e-14,-6.095638694169353e-18,-8.208255491005672e-28,0.9999999998653423,7426229239.608736,leaf,2,0,0,1,0.9999999998653423,0.9999999998653423,7426229239.608736,7426229239.608736
gl_clustered_at_eps@200,1,0,1,2,1.3686908861666567e-14,-5.2788805569130225e-18,-7.7820576097419155e-28,0.9999999998525813,6783399482.325196,leaf,2,0,0,1,0.9999999998525813,0.9999999998525813,6783399482.325196,6783399482.325196
step_function@200,0,-1,0,200,0.0,5.8286708792831585e-16,10.499476609115385,1.0,1.8013500550243228e+16,internal,174,0,5,199,0.9999999999999984,0.00014945302424482077,686499739675893.0,0.00014947536378998928
step_function@200,5,0,1,10,10.448478288862983,3.748014343329942e-12,0.05099832025240374,0.9999999999265071,13606756959.031809,leaf,10,0,0,9,0.9999999996121041,0.030769219936143635,2578010722.8272223,0.03174602021421199
step_function@200,4,0,1,9,9.500578470239097,3.917048019275171e-12,0.04548450863670216,0.9999999999138818,11611935418.959145,leaf,9,0,0,8,0.9999999977409396,0.20964067927836016,442661927.4767367,0.26524730433614313
step_function@200,3,0,1,2,1.499644255903795,-0.0010669788335658736,-8.526512829121202e-14,0.9999999999200874,12513660096.029882,leaf,2,0,0,1,0.9999999999200874,0.9999999999200874,12513660096.029882,12513660096.029882
step_function@200,2,0,1,3,0.5995442404794034,-0.00036450581488244147,0.00036450581488244147,2.0,2.0,leaf,3,0,0,2,1.249403336399097,0.7505966636009029,5.00956945660018,3.0095694566001803
step_function@200,1,0,1,2,0.595704489634878,-0.0002253278057216467,0.00022532780572332554,1.9999999999925493,2.0000000000074505,leaf,2,0,0,1,1.9999999999925493,1.9999999999925493,2.0000000000074505,2.0000000000074505
demmel_S1pe_k8@100,0,-1,0,100,0.0,9.00054693987435e-09,1.0000000000499998,0.999999990999453,111104358.18286094,internal,80,0,2,99,0.9999999890004494,0.00012253448182420831,90912804.32167323,0.0001225494983634881
demmel_S1pe_k8@100,2,0,1,12,1.0967705618506376e-08,-3.1845018681190645e-11,3.1845018681190645e-11,2.0,2.0,leaf,12,0,0,11,1.9283096097816028,0.042328315313373034,2.1503268959730484,0.04419919267762821
demmel_S1pe_k8@100,1,0,1,8,9.017655758792606e-09,-1.7108752086931347e-11,1.7108752086931347e-11,2.0,2.0,leaf,8,0,0,7,1.48810493538187,0.09587810279744277,3.5934028622986522,0.10604554882931065
pd_T0@100,0,-1,0,100,0.0,0.7430377806980806,1.306612785084538,0.43132518740048453,0.7584742243617562,internal,24,0,1,99,0.17849745004859766,0.00017687728911754157,0.21728167497368941,0.00017690858022763388
pd_T0@100,1,0,1,76,1.0002985754991707,-0.012730609911347371,0.012730609911347742,1.999999999999971,2.0000000000000293,leaf,76,0,0,75,1.0737757258965235,0.03180198064682769,14.582216833030683,0.032846566519598705
